web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,image
"1781563516-51","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Estúdio para rentabilizar com exploração turística","160.000 €","Portimão - Hoje às 18:01","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-52","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T1 para venda","220.000 €","Armação De Pera - Hoje às 16:16","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-53","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T3 à venda em Setúbal","138.000 €","São Sebastião - Hoje às 17:46","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-54","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 para venda","320.000 €","Massamá E Monte Abraão - Hoje às 18:46","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-55","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T1+2 Tapada das Mêrces","245.000 €","Algueirão-Mem Martins - Hoje às 22:09","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-56","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 c/ garagem Porto Ramada Alta","295.000 €","Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau E Vitória - Para o topo a 14 de junho de 2026","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-57","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T2 novo em Alcântara | VdS32 com estacionamento","870.000 €","Estrela - Para o topo hoje às 12:30","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-58","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 , com elevador, para venda","285.000 €Negociável","Lamego (Almacave E Sé) - Para o topo a 14 de junho de 2026","","","","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-59","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 para venda","272.500 €","Ramalde - Hoje às 20:46","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-60","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Excelente apartamento T3 transformado em T2, em Setúbal.","249.000 €","São Sebastião - Hoje às 22:31","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-61","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Vendo apartamento T2","265.000 €","Ílhavo (São Salvador) - Hoje às 13:31","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-62","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T1 para venda","206.000 €","Queluz E Belas - Hoje às 19:16","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-63","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 | Como Novo | Torre Eurolímpica | S. Vítor, Braga","279.900 €","São Victor - Hoje às 17:31","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-64","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","OPORTUNIDADE ÚNICA - Investimento e Habitação em Lamego","220.000 €Negociável","Lamego (Almacave E Sé) - Hoje às 22:35","","","","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-65","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T5 para venda","275.000 €","Santo André - Hoje às 12:31","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
